meter_id,V,I,P,timestamp,Is_Fraud
m46,126.4491,3.6886,466.4148,2026-03-14T18:08:57.366046Z,False
m47,126.3761,4.1797,528.2082,2026-03-14T18:08:57.366046Z,False
m48,126.3094,4.6294,584.7416,2026-03-14T18:08:57.366046Z,False
m49,126.5151,3.2449,410.5266,2026-03-14T18:08:57.366046Z,False
m0,126.3701,4.2202,533.3081,2026-03-14T18:13:57.366046Z,False
m1,126.479,3.4877,441.1234,2026-03-14T18:13:57.366046Z,False
m2,126.438,3.7631,475.7996,2026-03-14T18:13:57.366046Z,False
m3,126.4335,3.7936,239.8211,2026-03-14T18:13:57.366046Z,True
m4,126.4888,3.4216,432.7954,2026-03-14T18:13:57.366046Z,False
m5,126.3921,4.0724,514.7205,2026-03-14T18:13:57.366046Z,False
m6,126.3337,4.4653,282.0584,2026-03-14T18:13:57.366046Z,True
m7,126.3984,4.0295,509.3182,2026-03-14T18:13:57.366046Z,False
m8,126.3443,4.3943,555.1902,2026-03-14T18:13:57.366046Z,False
m9,126.3906,4.0823,515.9608,2026-03-14T18:13:57.366046Z,False
m10,126.4085,3.962,500.8332,2026-03-14T18:13:57.366046Z,False
m11,126.3539,4.3295,547.0445,2026-03-14T18:13:57.366046Z,False
m12,126.3984,4.0299,509.3765,2026-03-14T18:13:57.366046Z,False
m13,126.5266,3.1681,400.85,2026-03-14T18:13:57.366046Z,False
m14,126.306,4.6523,587.618,2026-03-14T18:13:57.366046Z,False
m15,126.3874,4.1036,518.6432,2026-03-14T18:13:57.366046Z,False
m16,126.4091,3.9575,500.2587,2026-03-14T18:13:57.366046Z,False
m17,126.4724,3.5321,446.7104,2026-03-14T18:13:57.366046Z,False
m18,126.415,3.9184,495.3406,2026-03-14T18:13:57.366046Z,False
m19,126.3104,4.6225,583.8658,2026-03-14T18:13:57.366046Z,False
m20,126.3395,4.4266,559.2597,2026-03-14T18:13:57.366046Z,False
m21,126.455,3.6493,461.4668,2026-03-14T18:13:57.366046Z,False
m22,126.4558,3.6436,460.7593,2026-03-14T18:13:57.366046Z,False
m23,126.3388,4.4309,559.7936,2026-03-14T18:13:57.366046Z,False
m24,126.3707,4.216,532.7841,2026-03-14T18:13:57.366046Z,False
m25,126.4478,3.6977,467.5598,2026-03-14T18:13:57.366046Z,False
m26,126.4016,4.0085,506.6863,2026-03-14T18:13:57.366046Z,False
m27,126.4596,3.6178,457.5098,2026-03-14T18:13:57.366046Z,False
m28,126.4146,3.9206,495.616,2026-03-14T18:13:57.366046Z,False
m29,126.5501,3.0099,190.4534,2026-03-14T18:13:57.366046Z,True
m30,126.4509,3.6769,464.9456,2026-03-14T18:13:57.366046Z,False
m31,126.3916,4.0755,515.1034,2026-03-14T18:13:57.366046Z,False
m32,126.476,3.5081,443.6906,2026-03-14T18:13:57.366046Z,False
m33,126.4327,3.7988,480.2939,2026-03-14T18:13:57.366046Z,False
m34,126.3817,4.1423,523.5098,2026-03-14T18:13:57.366046Z,False
m35,126.4191,3.8903,491.8081,2026-03-14T18:13:57.366046Z,False
m36,126.3281,4.5033,284.4467,2026-03-14T18:13:57.366046Z,True
m37,126.4154,3.9153,494.9521,2026-03-14T18:13:57.366046Z,False
m38,126.459,3.6222,458.0535,2026-03-14T18:13:57.366046Z,False
m39,126.3834,4.1307,522.0465,2026-03-14T18:13:57.366046Z,False
m40,126.4129,3.932,497.0498,2026-03-14T18:13:57.366046Z,False
m41,126.3588,4.2961,542.8484,2026-03-14T18:13:57.366046Z,False
m42,126.4114,3.9422,498.34,2026-03-14T18:13:57.366046Z,False
m43,126.3746,4.1898,529.4792,2026-03-14T18:13:57.366046Z,False
m44,126.4487,3.6913,233.3818,2026-03-14T18:13:57.366046Z,True
m45,126.4475,3.6993,467.765,2026-03-14T18:13:57.366046Z,False
m46,126.3762,4.1789,528.1177,2026-03-14T18:13:57.366046Z,False
m47,126.3503,4.3538,550.1084,2026-03-14T18:13:57.366046Z,False
m48,126.4034,3.9962,505.1349,2026-03-14T18:13:57.366046Z,False
m49,126.3732,4.1997,530.7239,2026-03-14T18:13:57.366046Z,False
m0,126.5582,2.9558,374.0779,2026-03-14T18:18:57.366046Z,False
m1,126.4269,3.8381,485.2374,2026-03-14T18:18:57.366046Z,False
m2,126.3694,4.2247,533.8783,2026-03-14T18:18:57.366046Z,False
m3,126.4718,3.5359,223.5969,2026-03-14T18:18:57.366046Z,True
m4,126.4602,3.6142,457.0552,2026-03-14T18:18:57.366046Z,False
m5,126.44,3.7501,474.1582,2026-03-14T18:18:57.366046Z,False
m6,126.3274,4.5076,284.7139,2026-03-14T18:18:57.366046Z,True
m7,126.442,3.7362,472.4169,2026-03-14T18:18:57.366046Z,False
m8,126.388,4.0997,518.1552,2026-03-14T18:18:57.366046Z,False
m9,126.3528,4.3369,547.9803,2026-03-14T18:18:57.366046Z,False
m10,126.4211,3.8772,490.1572,2026-03-14T18:18:57.366046Z,False
m11,126.3364,4.4471,561.8329,2026-03-14T18:18:57.366046Z,False
m12,126.3228,4.5387,573.3424,2026-03-14T18:18:57.366046Z,False
m13,126.4003,4.0169,507.7425,2026-03-14T18:18:57.366046Z,False
m14,126.3748,4.1887,529.3457,2026-03-14T18:18:57.366046Z,False
m15,126.4147,3.92,495.5478,2026-03-14T18:18:57.366046Z,False
m16,126.4161,3.9109,494.4053,2026-03-14T18:18:57.366046Z,False
m17,126.4193,3.8892,491.6656,2026-03-14T18:18:57.366046Z,False
m18,126.448,3.6962,467.3789,2026-03-14T18:18:57.366046Z,False
m19,126.407,3.9717,502.0496,2026-03-14T18:18:57.366046Z,False
m20,126.4123,3.9359,497.5508,2026-03-14T18:18:57.366046Z,False
m21,126.3965,4.0428,510.9909,2026-03-14T18:18:57.366046Z,False
m22,126.4559,3.6432,460.7062,2026-03-14T18:18:57.366046Z,False
m23,126.5154,3.2428,410.2605,2026-03-14T18:18:57.366046Z,False
m24,126.373,4.2008,530.8626,2026-03-14T18:18:57.366046Z,False
m25,126.4521,3.6687,463.9205,2026-03-14T18:18:57.366046Z,False
m26,126.3882,4.0985,518.0017,2026-03-14T18:18:57.366046Z,False
m27,126.3953,4.0507,511.9922,2026-03-14T18:18:57.366046Z,False
m28,126.4188,3.8925,492.0842,2026-03-14T18:18:57.366046Z,False
m29,126.2112,5.2914,333.9196,2026-03-14T18:18:57.366046Z,True
m30,126.329,4.4973,568.1352,2026-03-14T18:18:57.366046Z,False
m31,126.3576,4.3045,543.9086,2026-03-14T18:18:57.366046Z,False
m32,126.3286,4.4995,568.4167,2026-03-14T18:18:57.366046Z,False
m33,126.3399,4.4238,558.905,2026-03-14T18:18:57.366046Z,False
m34,126.2652,4.9271,622.1183,2026-03-14T18:18:57.366046Z,False
m35,126.5755,2.8393,359.3906,2026-03-14T18:18:57.366046Z,False
m36,126.3797,4.1559,262.6102,2026-03-14T18:18:57.366046Z,True
m37,126.4581,3.6283,458.8299,2026-03-14T18:18:57.366046Z,False
m38,126.3615,4.278,540.5761,2026-03-14T18:18:57.366046Z,False
m39,126.4332,3.7957,479.9023,2026-03-14T18:18:57.366046Z,False
m40,126.4743,3.5193,445.1004,2026-03-14T18:18:57.366046Z,False
m41,126.4165,3.9079,494.0202,2026-03-14T18:18:57.366046Z,False
m42,126.4376,3.7659,476.1526,2026-03-14T18:18:57.366046Z,False
m43,126.3616,4.2775,540.508,2026-03-14T18:18:57.366046Z,False
m44,126.3076,4.6415,293.1283,2026-03-14T18:18:57.366046Z,True
m45,126.3852,4.1183,520.4897,2026-03-14T18:18:57.366046Z,False
m46,126.526,3.1715,401.2785,2026-03-14T18:18:57.366046Z,False
m47,126.3508,4.3502,549.6475,2026-03-14T18:18:57.366046Z,False
m48,126.3713,4.2121,532.2855,2026-03-14T18:18:57.366046Z,False
m49,126.3754,4.1847,528.8427,2026-03-14T18:18:57.366046Z,False
m0,126.3273,4.5085,569.5524,2026-03-14T18:23:57.366046Z,False
m1,126.4827,3.463,438.0087,2026-03-14T18:23:57.366046Z,False
m2,126.4034,3.9963,505.1499,2026-03-14T18:23:57.366046Z,False
m3,126.3894,4.0905,258.4988,2026-03-14T18:23:57.366046Z,True
m4,126.2832,4.8056,606.8687,2026-03-14T18:23:57.366046Z,False
m5,126.4247,3.8531,487.1241,2026-03-14T18:23:57.366046Z,False
m6,126.384,4.1266,260.7673,2026-03-14T18:23:57.366046Z,True
m7,126.369,4.2278,534.261,2026-03-14T18:23:57.366046Z,False
m8,126.2957,4.7215,596.3111,2026-03-14T18:23:57.366046Z,False
m9,126.4181,3.8974,492.6963,2026-03-14T18:23:57.366046Z,False
m10,126.3651,4.2537,537.5185,2026-03-14T18:23:57.366046Z,False
m11,126.4432,3.7281,471.3887,2026-03-14T18:23:57.366046Z,False
m12,126.3627,4.27,539.5696,2026-03-14T18:23:57.366046Z,False
m13,126.4186,3.8938,492.2476,2026-03-14T18:23:57.366046Z,False
m14,126.3053,4.6571,588.2189,2026-03-14T18:23:57.366046Z,False
m15,126.4821,3.4668,438.4849,2026-03-14T18:23:57.366046Z,False
m16,126.4859,3.4409,435.2301,2026-03-14T18:23:57.366046Z,False
m17,126.4136,3.9276,496.5011,2026-03-14T18:23:57.366046Z,False
m18,126.3214,4.548,574.5107,2026-03-14T18:23:57.366046Z,False
m19,126.4364,3.7741,477.1838,2026-03-14T18:23:57.366046Z,False
m20,126.4282,3.8293,484.1346,2026-03-14T18:23:57.366046Z,False
m21,126.3612,4.2803,540.8671,2026-03-14T18:23:57.366046Z,False
m22,126.4309,3.8112,481.8565,2026-03-14T18:23:57.366046Z,False
m23,126.4725,3.5313,446.6172,2026-03-14T18:23:57.366046Z,False
m24,126.4173,3.9024,493.3284,2026-03-14T18:23:57.366046Z,False
m25,126.4271,3.8369,485.0826,2026-03-14T18:23:57.366046Z,False
m26,126.5848,2.7772,351.5465,2026-03-14T18:23:57.366046Z,False
m27,126.4053,3.9833,503.5155,2026-03-14T18:23:57.366046Z,False
m28,126.3627,4.2698,539.5399,2026-03-14T18:23:57.366046Z,False
m29,126.4708,3.5427,224.0223,2026-03-14T18:23:57.366046Z,True
m30,126.488,3.4271,433.4866,2026-03-14T18:23:57.366046Z,False
m31,126.3496,4.3582,550.6592,2026-03-14T18:23:57.366046Z,False
m32,126.378,4.1674,526.6668,2026-03-14T18:23:57.366046Z,False
m33,126.3292,4.4961,567.9863,2026-03-14T18:23:57.366046Z,False
m34,126.4242,3.8562,487.5161,2026-03-14T18:23:57.366046Z,False
m35,126.3387,4.4317,559.8971,2026-03-14T18:23:57.366046Z,False
m36,126.3098,4.6262,292.1652,2026-03-14T18:23:57.366046Z,True
m37,126.3875,4.1034,518.6139,2026-03-14T18:23:57.366046Z,False
m38,126.4162,3.9098,494.2621,2026-03-14T18:23:57.366046Z,False
m39,126.3638,4.2624,538.609,2026-03-14T18:23:57.366046Z,False
m40,126.3739,4.1946,530.0941,2026-03-14T18:23:57.366046Z,False
m41,126.2315,5.1545,650.6613,2026-03-14T18:23:57.366046Z,False
m42,126.2807,4.8226,609.0067,2026-03-14T18:23:57.366046Z,False
m43,126.3395,4.4265,559.2383,2026-03-14T18:23:57.366046Z,False
m44,126.468,3.5616,225.2153,2026-03-14T18:23:57.366046Z,True
m45,126.2983,4.7038,594.0857,2026-03-14T18:23:57.366046Z,False
m46,126.4057,3.9804,503.1404,2026-03-14T18:23:57.366046Z,False
m47,126.5486,3.0201,382.1892,2026-03-14T18:23:57.366046Z,False
m48,126.483,3.4606,437.7078,2026-03-14T18:23:57.366046Z,False
m49,126.3196,4.5603,576.0558,2026-03-14T18:23:57.366046Z,False
m0,126.5045,3.3166,419.5636,2026-03-14T18:28:57.366046Z,False
m1,126.4503,3.6803,465.3794,2026-03-14T18:28:57.366046Z,False
m2,126.4523,3.6673,463.7361,2026-03-14T18:28:57.366046Z,False
m3,126.3276,4.5064,284.6388,2026-03-14T18:28:57.366046Z,True
m4,126.3338,4.465,564.0841,2026-03-14T18:28:57.366046Z,False
m5,126.3816,4.1428,523.5725,2026-03-14T18:28:57.366046Z,False
m6,126.3505,4.3521,274.9437,2026-03-14T18:28:57.366046Z,True
m7,126.4272,3.8363,485.0078,2026-03-14T18:28:57.366046Z,False
m8,126.427,3.8375,485.1688,2026-03-14T18:28:57.366046Z,False
m9,126.4388,3.7578,475.1374,2026-03-14T18:28:57.366046Z,False
m10,126.3962,4.0445,511.2106,2026-03-14T18:28:57.366046Z,False
m11,126.3948,4.0537,512.3716,2026-03-14T18:28:57.366046Z,False
m12,126.3699,4.2214,533.4628,2026-03-14T18:28:57.366046Z,False
m13,126.4216,3.8737,489.7193,2026-03-14T18:28:57.366046Z,False
m14,126.4206,3.8807,490.5968,2026-03-14T18:28:57.366046Z,False
m15,126.3676,4.2368,535.3982,2026-03-14T18:28:57.366046Z,False
m16,126.5186,3.2214,407.5726,2026-03-14T18:28:57.366046Z,False
m17,126.3777,4.1693,526.9001,2026-03-14T18:28:57.366046Z,False
m18,126.3729,4.2016,530.9733,2026-03-14T18:28:57.366046Z,False
m19,126.4418,3.738,472.6371,2026-03-14T18:28:57.366046Z,False
m20,126.3391,4.4293,559.5988,2026-03-14T18:28:57.366046Z,False
m21,126.3879,4.1003,518.2264,2026-03-14T18:28:57.366046Z,False
m22,126.3423,4.4074,556.8422,2026-03-14T18:28:57.366046Z,False
m23,126.3849,4.121,520.8258,2026-03-14T18:28:57.366046Z,False
m24,126.4096,3.9543,499.8562,2026-03-14T18:28:57.366046Z,False
m25,126.3015,4.6827,591.4361,2026-03-14T18:28:57.366046Z,False
m26,126.4141,3.9239,496.0379,2026-03-14T18:28:57.366046Z,False
m27,126.4571,3.6346,459.6194,2026-03-14T18:28:57.366046Z,False
m28,126.4883,3.4254,433.2695,2026-03-14T18:28:57.366046Z,False
m29,126.3114,4.6157,291.5067,2026-03-14T18:28:57.366046Z,True
m30,126.3615,4.2783,540.6063,2026-03-14T18:28:57.366046Z,False
m31,126.3641,4.2605,538.3802,2026-03-14T18:28:57.366046Z,False
m32,126.443,3.7299,471.6244,2026-03-14T18:28:57.366046Z,False
m33,126.4233,3.8621,488.2592,2026-03-14T18:28:57.366046Z,False
m34,126.3734,4.1982,530.5436,2026-03-14T18:28:57.366046Z,False
m35,126.3777,4.1688,526.8479,2026-03-14T18:28:57.366046Z,False
m36,126.4317,3.8059,240.5948,2026-03-14T18:28:57.366046Z,True
m37,126.3566,4.311,544.7213,2026-03-14T18:28:57.366046Z,False
m38,126.3649,4.255,537.6777,2026-03-14T18:28:57.366046Z,False
m39,126.4128,3.9331,497.1989,2026-03-14T18:28:57.366046Z,False
m40,126.3971,4.0388,510.4932,2026-03-14T18:28:57.366046Z,False
m41,126.4878,3.4284,433.6536,2026-03-14T18:28:57.366046Z,False
m42,126.407,3.9719,502.073,2026-03-14T18:28:57.366046Z,False
m43,126.4597,3.6172,457.4286,2026-03-14T18:28:57.366046Z,False
m44,126.3877,4.1018,259.2111,2026-03-14T18:28:57.366046Z,True
m45,126.3771,4.1734,527.4223,2026-03-14T18:28:57.366046Z,False
m46,126.4487,3.6911,466.7399,2026-03-14T18:28:57.366046Z,False
m47,126.3916,4.0756,515.1252,2026-03-14T18:28:57.366046Z,False
m48,126.426,3.8441,485.9931,2026-03-14T18:28:57.366046Z,False
m49,126.4533,3.6602,462.8393,2026-03-14T18:28:57.366046Z,False
m0,126.3643,4.259,538.191,2026-03-14T18:33:57.366046Z,False
m1,126.3548,4.3232,546.2593,2026-03-14T18:33:57.366046Z,False
m2,126.2961,4.7188,595.9694,2026-03-14T18:33:57.366046Z,False
m3,126.4384,3.7604,237.7268,2026-03-14T18:33:57.366046Z,True
m4,126.4342,3.789,479.0642,2026-03-14T18:33:57.366046Z,False
m5,126.4205,3.8812,490.6589,2026-03-14T18:33:57.366046Z,False
m6,126.4619,3.6027,227.801,2026-03-14T18:33:57.366046Z,True
m7,126.4853,3.4456,435.813,2026-03-14T18:33:57.366046Z,False
m8,126.3072,4.6439,586.5565,2026-03-14T18:33:57.366046Z,False
m9,126.4317,3.8058,481.172,2026-03-14T18:33:57.366046Z,False
m10,126.5071,3.2987,417.3044,2026-03-14T18:33:57.366046Z,False
m11,126.3221,4.5435,573.9417,2026-03-14T18:33:57.366046Z,False
m12,126.2813,4.8186,608.494,2026-03-14T18:33:57.366046Z,False
m13,126.416,3.9112,494.436,2026-03-14T18:33:57.366046Z,False
m14,126.4641,3.5875,453.695,2026-03-14T18:33:57.366046Z,False
m15,126.4697,3.5502,448.9937,2026-03-14T18:33:57.366046Z,False
m16,126.3727,4.2025,531.0821,2026-03-14T18:33:57.366046Z,False
m17,126.4649,3.5823,453.031,2026-03-14T18:33:57.366046Z,False
m18,126.361,4.2812,540.9808,2026-03-14T18:33:57.366046Z,False
m19,126.4293,3.8216,483.1659,2026-03-14T18:33:57.366046Z,False
m20,126.3938,4.061,513.2839,2026-03-14T18:33:57.366046Z,False
m21,126.42,3.8847,491.1036,2026-03-14T18:33:57.366046Z,False
m22,126.3762,4.1792,528.1485,2026-03-14T18:33:57.366046Z,False
m23,126.3827,4.1357,522.6758,2026-03-14T18:33:57.366046Z,False
m24,126.3259,4.5181,570.7502,2026-03-14T18:33:57.366046Z,False
m25,126.2951,4.7253,596.781,2026-03-14T18:33:57.366046Z,False
m26,126.4423,3.7342,472.1578,2026-03-14T18:33:57.366046Z,False
m27,126.4598,3.6164,457.3281,2026-03-14T18:33:57.366046Z,False
m28,126.2826,4.81,607.4162,2026-03-14T18:33:57.366046Z,False
m29,126.4243,3.8555,243.7153,2026-03-14T18:33:57.366046Z,True
m30,126.3279,4.5043,569.0233,2026-03-14T18:33:57.366046Z,False
m31,126.4302,3.8159,482.4436,2026-03-14T18:33:57.366046Z,False
m32,126.3765,4.1775,527.9321,2026-03-14T18:33:57.366046Z,False
m33,126.4021,4.005,506.2386,2026-03-14T18:33:57.366046Z,False
m34,126.3795,4.1569,525.3505,2026-03-14T18:33:57.366046Z,False
m35,126.4323,3.8014,480.6202,2026-03-14T18:33:57.366046Z,False
m36,126.3724,4.205,265.6981,2026-03-14T18:33:57.366046Z,True
m37,126.3442,4.3949,555.2685,2026-03-14T18:33:57.366046Z,False
m38,126.3701,4.2203,533.3137,2026-03-14T18:33:57.366046Z,False
m39,126.4432,3.7284,471.4353,2026-03-14T18:33:57.366046Z,False
m40,126.345,4.3891,554.5396,2026-03-14T18:33:57.366046Z,False
m41,126.4932,3.392,429.0654,2026-03-14T18:33:57.366046Z,False
m42,126.411,3.945,498.6957,2026-03-14T18:33:57.366046Z,False
m43,126.3157,4.5866,579.3606,2026-03-14T18:33:57.366046Z,False
m44,126.4692,3.5538,224.7239,2026-03-14T18:33:57.366046Z,True
m45,126.4475,3.6991,467.7422,2026-03-14T18:33:57.366046Z,False
m46,126.424,3.8577,487.703,2026-03-14T18:33:57.366046Z,False
m47,126.4596,3.6179,457.5126,2026-03-14T18:33:57.366046Z,False
m48,126.3905,4.0827,516.009,2026-03-14T18:33:57.366046Z,False
m49,126.4018,4.007,506.49,2026-03-14T18:33:57.366046Z,False
m0,126.223,5.2117,657.8377,2026-03-14T18:38:57.366046Z,False
m1,126.4009,4.0128,507.2237,2026-03-14T18:38:57.366046Z,False
m2,126.3519,4.3426,548.7006,2026-03-14T18:38:57.366046Z,False
m3,126.3687,4.23,267.2683,2026-03-14T18:38:57.366046Z,True
m4,126.4607,3.6108,456.6281,2026-03-14T18:38:57.366046Z,False
m5,126.345,4.3896,554.6049,2026-03-14T18:38:57.366046Z,False
m6,126.4924,3.3979,214.9018,2026-03-14T18:38:57.366046Z,True
m7,126.4077,3.9673,501.5022,2026-03-14T18:38:57.366046Z,False
m8,126.3557,4.317,545.4788,2026-03-14T18:38:57.366046Z,False
m9,126.5228,3.193,403.992,2026-03-14T18:38:57.366046Z,False
m10,126.4742,3.5202,445.2118,2026-03-14T18:38:57.366046Z,False
m11,126.3074,4.6429,586.4279,2026-03-14T18:38:57.366046Z,False
m12,126.4955,3.377,427.1717,2026-03-14T18:38:57.366046Z,False
m13,126.4718,3.5359,447.1971,2026-03-14T18:38:57.366046Z,False
m14,126.4516,3.6717,464.295,2026-03-14T18:38:57.366046Z,False
m15,126.4027,4.0006,505.6924,2026-03-14T18:38:57.366046Z,False
m16,126.4435,3.7264,471.1791,2026-03-14T18:38:57.366046Z,False
m17,126.4625,3.5987,455.1054,2026-03-14T18:38:57.366046Z,False
m18,126.3395,4.4261,559.1887,2026-03-14T18:38:57.366046Z,False
m19,126.4002,4.0179,507.858,2026-03-14T18:38:57.366046Z,False
m20,126.3971,4.0386,510.466,2026-03-14T18:38:57.366046Z,False
m21,126.5033,3.3244,420.5504,2026-03-14T18:38:57.366046Z,False
m22,126.4057,3.9805,503.1607,2026-03-14T18:38:57.366046Z,False
m23,126.3406,4.4187,558.2556,2026-03-14T18:38:57.366046Z,False
m24,126.3717,4.2097,531.9834,2026-03-14T18:38:57.366046Z,False
m25,126.373,4.2007,530.8586,2026-03-14T18:38:57.366046Z,False
m26,126.3908,4.0809,515.7936,2026-03-14T18:38:57.366046Z,False
m27,126.3656,4.2503,537.0944,2026-03-14T18:38:57.366046Z,False
m28,126.4241,3.8567,487.5851,2026-03-14T18:38:57.366046Z,False
m29,126.4494,3.6868,233.0995,2026-03-14T18:38:57.366046Z,True
m30,126.3704,4.2181,533.0455,2026-03-14T18:38:57.366046Z,False
m31,126.3876,4.1026,518.5182,2026-03-14T18:38:57.366046Z,False
m32,126.4744,3.5186,445.0069,2026-03-14T18:38:57.366046Z,False
m33,126.4218,3.8725,489.5716,2026-03-14T18:38:57.366046Z,False
m34,126.3284,4.5011,568.6129,2026-03-14T18:38:57.366046Z,False
m35,126.3203,4.556,575.5157,2026-03-14T18:38:57.366046Z,False
m36,126.3739,4.195,265.066,2026-03-14T18:38:57.366046Z,True
m37,126.4344,3.7877,478.8928,2026-03-14T18:38:57.366046Z,False
m38,126.5071,3.2991,417.3631,2026-03-14T18:38:57.366046Z,False
m39,126.4365,3.7735,477.1094,2026-03-14T18:38:57.366046Z,False
m40,126.3916,4.0755,515.1094,2026-03-14T18:38:57.366046Z,False
m41,126.3495,4.3588,550.7284,2026-03-14T18:38:57.366046Z,False
m42,126.3939,4.06,513.1557,2026-03-14T18:38:57.366046Z,False
m43,126.4168,3.9058,493.7549,2026-03-14T18:38:57.366046Z,False
m44,126.4699,3.5486,224.3935,2026-03-14T18:38:57.366046Z,True
m45,126.2945,4.7294,597.2918,2026-03-14T18:38:57.366046Z,False
m46,126.2958,4.7206,596.1927,2026-03-14T18:38:57.366046Z,False
m47,126.432,3.8035,480.8859,2026-03-14T18:38:57.366046Z,False
m48,126.5432,3.0561,386.735,2026-03-14T18:38:57.366046Z,False
m49,126.4521,3.6687,463.9107,2026-03-14T18:38:57.366046Z,False
m0,126.3942,4.058,512.908,2026-03-14T18:43:57.366046Z,False
m1,126.4153,3.9163,495.0794,2026-03-14T18:43:57.366046Z,False
m2,126.3724,4.2047,531.3552,2026-03-14T18:43:57.366046Z,False
m3,126.3697,4.2229,266.8218,2026-03-14T18:43:57.366046Z,True
m4,126.4906,3.4099,431.3235,2026-03-14T18:43:57.366046Z,False
m5,126.3581,4.3013,543.5076,2026-03-14T18:43:57.366046Z,False
m6,126.4435,3.7261,235.5681,2026-03-14T18:43:57.366046Z,True
m7,126.4533,3.6604,462.8738,2026-03-14T18:43:57.366046Z,False
m8,126.4893,3.4187,432.4273,2026-03-14T18:43:57.366046Z,False
m9,126.4498,3.684,465.8407,2026-03-14T18:43:57.366046Z,False
m10,126.4492,3.6877,466.3018,2026-03-14T18:43:57.366046Z,False
m11,126.4196,3.8869,491.3852,2026-03-14T18:43:57.366046Z,False
m12,126.4374,3.7675,476.3589,2026-03-14T18:43:57.366046Z,False
m13,126.532,3.1313,396.2122,2026-03-14T18:43:57.366046Z,False
m14,126.4296,3.8201,482.9784,2026-03-14T18:43:57.366046Z,False
m15,126.4496,3.6854,466.0128,2026-03-14T18:43:57.366046Z,False
m16,126.4219,3.8717,489.4661,2026-03-14T18:43:57.366046Z,False
m17,126.4271,3.8365,485.0331,2026-03-14T18:43:57.366046Z,False
m18,126.2994,4.6967,593.1959,2026-03-14T18:43:57.366046Z,False
